booktitle,author,key,title
WWW,Torsten Suel,conf/www/ZhangLS08,Performance of compressed inverted list caching in search engines.
FLAIRS Conference,Jeff Heflin,conf/flairs/SongH12,A Pruning Based Approach for Scalable Entity Coreference.
ICML,Saso Dzeroski,conf/icml/LangleySTD02,Inducing Process Models from Continuous Data.
,Derick Wood,journals/iandc/MaurerSW79,Context-Dependent L Forms
,Tomás Lang,journals/tc/ErcegovacL90b,Simple Radix-4 Division with Opterands Scaling.
,Dawei Song,journals/qip/QuSWBLMS15,Bipartite entanglement and hypergraph states.
,Francis Jeffry Pelletier,journals/expert/Pelletier94,Responses to Elkan (Francis Jeffry Pelletier).
,Arye Nehorai,journals/corr/LiuRWN16,The Random Frequency Diverse Array: A New Antenna Structure for Uncoupled Direction-Range Indication in Active Sensing.
VLDB,Peter J. Varman,conf/vldb/IyerRV89,Percentile Finding Algorithm for Multiple Sorted Runs.
SCSS,Hao Wu,conf/cisse/WuW09,Fuzzy-rule-based Adaptive Resource Control for Information Sharing in P2P Networks.
,Dhabaleswar K. Panda,journals/tpds/TsengLGP97,Bandwidth-Optimal Complete Exchange on Wormhole-Routed 2D/3D Torus Networks: A Diagonal-Propagation Approach.
,Rick Siow Mong Goh,journals/fgcs/TangCG14,"Special Issue: Recent Advances in Parallel and Distributed Systems, ICPADS 2012 Selected Papers."
IIR,Salvatore Trani,conf/iir/LuccheseNOPST16,Post-Learning Optimization of Tree Ensembles.
IRI,Wen-Lian Hsu,conf/iri/DayLOWH06,Integrating genetic algorithms with conditional random fields to enhance question informer prediction.
,Rama Chellappa,journals/tmm/ShroffTC10,Video Précis: Highlighting Diverse Aspects of Videos.
AAAI Spring Symposium: Intentions in Intelligent Systems,Ronnie W. Smith,conf/aaaiss/Smith07,The Role of Intention in Maintaining Coherent Human-Computer Dialog: Two Case Studies.
,Joelle Pineau,journals/nn/VincentCP11,A bistable computational model of recurring epileptiform activity as observed in rodent slice preparations.
IJCAI,Jacques Flament,conf/ijcai/GerardinF69,Geometrical Pattern Feature Extraction by Projection on Haar Orthonormal Basis.
AAAI,Shih-Fu Chang,conf/aaai/LiuMJMSC15,Low-Rank Similarity Metric Learning in High Dimensions.
,Wagner Meira Jr.,series/sbcs/VelosoM11,Demand-Driven Associative Classification.
,Yuichi Yoshida,journals/corr/TakaguchiHY13,Suppressing epidemics on networks by exploiting observer nodes.
,Raúl E. Valdés-Pérez,journals/ai/Valdes-Perez95,Machine Discovery in Chemistry: New Results.
COLT,Yishay Mansour,journals/jmlr/BalcanBFM12,"Distributed Learning, Communication Complexity and Privacy."
WETICE,Manfred Reichert,conf/wetice/RinderleKLDR06,On Representing Instance Changes in Adaptive Process Management Systems.
Foundations of Logic and Functional Programming,Domenico Saccà,conf/flfp/ZanioloS86,Rule Rewriting Methods for Efficient Implementations of Horn Logic.
WWW,Satoshi Sato,conf/www/Sato09,Crawling English-Japanese person-name transliterations from the web.
,C. Mohan,journals/dpd/SamarasBCM95,Two-Phase Commit Optimizations in a Commercial Distributed Environment.
CHI,Eric Horvitz,conf/chi/IqbalH07,"Disruption and recovery of computing tasks: field study, analysis, and directions."
,Dennis Tsichritzis,journals/ipl/Tsichritzis72,Protection in Operating Systems.
VLDB,Andrew Tomkins,conf/vldb/GibsonKT05,Discovering Large Dense Subgraphs in Massive Graphs.
AAAI,Eiichiro Sumita,conf/aaai/LiuFUS16,Agreement on Target-Bidirectional LSTMs for Sequence-to-Sequence Learning.
Multimedia Information Retrieval,Sethuraman Panchanathan,conf/mir/PradhanCP10,Processing body sensor data streams for continuous physiological monitoring.
KES,Giovanni Semeraro,conf/kes/ZambettaCAS03,SAMIR: Your 3D Virtual Bookseller.
,Diana Inkpen,journals/nle/KeshtkarI12,A hierarchical approach to mood classification in blogs.
,Takashi Washio,journals/ida/NguyenW08,Modeling dynamic substate chains among massive states.
CrowdSem,Edward Curry,conf/semweb/Hassan13,SLUA: Towards Semantic Linking of Users with Actions in Crowdsourcing.
,Mitsuo Kawato,journals/nn/UnoFSK95,A computational model for recognizing objects and planning hand shapes in grasping movements.
